#clean data from CNOS fireballs catalog without nan values
#this data was download 2023-10-05
#addign earth and sun SSB positions, latitud and longitud float values, ecliptic and velocity positions. 

Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),earthx (km),earthy (km),earthz (km),sunx (km),suny (km),sunz (km),earthvx (km/s),earthvy (km/s),earthvz (km/s),sunvx (km/s),sunvy (km/s),sunvz (km/s),x_ecliptic (km),y_ecliptic (km),z_ecliptic (km),vx_ecliptic (km/s),vy_ecliptic (km/s),vz_ecliptic (km/s)
2023-08-05 19:54:50,19.9,-131.7,44.0,21.8,3.3,20.4,-6.8,1719000000000.0,3.8,101871138.30632284,-111572887.39137988,37526.162722052904,-1284281.4324917635,-264319.0722839011,32113.748684845476,21.370962213161672,20.109182337306216,-0.002255848001798781,0.005725616319137479,-0.014172957915402459,-1.1577772732952849e-05,-3082.442481703031,5630.84924724989,-65.88566230070865,18.81505237820486,-11.050763055169835,-2.6676114071950723
2023-07-26 03:41:54,18.9,-103.4,36.1,15.6,-9.5,12.2,1.9,151000000000.0,0.44,80614856.17575936,-128239137.26429258,38455.086425301604,-1289462.9148353077,-251215.28071473824,32121.633076435093,24.605023376523178,15.938028235969458,7.963621988960921e-05,0.0055109615885481755,-0.014238950943080341,-5.6167832081393744e-06,-1537.7070123444469,-4564.203628661305,4232.891374931909,-9.639149946657724,12.258511471579665,-3.2196753675065466
2023-07-07 16:15:31,14.5,-126.6,38.3,25.7,2.6,4.1,-25.2,26000000000.0,0.092,38031654.37804196,-147150606.17392087,39911.155945831015,-1297978.3579945993,-228400.4388742863,32123.447011731656,28.292349117588806,7.563633192655176,-0.0012851269004821352,0.005162185657281295,-0.014343958406032347,2.9006453818481498e-06,4601.122727570337,4465.436978136316,-207.68486752803187,-3.0959455030526244,-13.558478229545813,-21.580541073516024
2023-06-21 19:39:13,12.4,62.8,40.4,16.5,7.3,-2.0,-16.4,543000000000.0,1.4,-1660820.0472745413,-152241211.1896489,39660.10725077855,-1304854.168839741,-208682.17679963994,32115.312840560982,29.318773864706674,-0.19089465826265647,9.339469061702995e-06,0.0048736924175549505,-0.014437882714572567,9.1249336201788e-06,-328.4251328400741,-5199.387128060474,3747.4745649635493,-7.971669154335643,-7.562175871312792,-14.576634333407835
2023-05-20 11:22:23,-17.8,141.9,29.0,27.9,25.4,6.9,9.3,3584000000000.0,7.2,-79534648.75910135,-129766006.85331829,39033.8249400731,-1317680.8394159672,-168092.56054414407,32069.8050324466,25.03549516307363,-15.526088037608085,-0.0002436349397133674,0.004317872504889323,-0.014612052308222913,2.2971994968286184e-05,-6014.3753772415785,-1739.0887026603511,-1352.349152203687,11.779202224094847,25.65934618240054,-1.0172508350668021
2023-04-26 13:14:59,47.0,-10.7,29.6,16.2,-15.6,-3.8,-1.8,24000000000.0,0.086,-123504844.66291708,-88056571.83458962,36843.081144260104,-1326208.1766303391,-137736.38291330967,32013.53499170716,16.929755162947565,-24.30465534452272,0.0009457844799481102,0.003934498947696339,-0.014768221705262837,3.127044291972212e-05,3266.333479891647,4537.260861264441,3107.657002518571,-6.2337863334525725,-14.420967547083016,4.305662538854468
2023-04-15 08:22:01,-20.1,36.0,41.4,17.2,1.6,-14.7,8.8,3097000000000.0,6.3,-137559605.40525284,-63059496.509581946,36412.91000361836,-1329929.4293151658,-123400.0327722264,31981.565132497122,12.005767902006001,-27.181032307256764,0.0010325831295108876,0.0037536132488659043,-0.014854676246683927,3.473486815774341e-05,6008.4107929022975,-455.8728358104348,-2206.682614567676,-6.2935557789268755,-9.148527357017276,13.573303820650409
2023-04-06 14:47:39,57.4,109.9,31.2,22.1,8.6,3.6,-20.0,72000000000.0,0.23,-145058238.83592513,-41933717.00698626,34835.897436439285,-1332706.861174231,-112164.8672880994,31954.393053143565,7.8378081795421854,-28.720150937842167,0.0026059036904071547,0.0036079025294849395,-0.01492976508627328,3.7303879621588524e-05,-3347.4145333087463,2905.999653999629,4608.223891429297,1.8125146828572694,0.6604344600557139,-22.089587489397545
2023-04-01 00:02:03,-16.8,76.0,61.8,46.4,21.4,-40.6,7.1,24000000000.0,0.086,-148188394.59839538,-27827169.933468018,33747.589455099514,-1334433.4332412842,-104909.50985106133,31935.86129869798,5.053303460901643,-29.392948832323313,0.0017100896874560514,0.003509138440220902,-0.014981049590240943,3.9148535772373995e-05,-516.2022519806303,-6373.61652267661,748.6653653492294,-28.070538104066987,36.49864640229177,-8.016134445241827
2023-03-03 02:53:54,40.1,87.4,32.0,25.3,16.1,-19.3,2.6,64000000000.0,0.2,-142310169.2449874,45899065.28492458,29769.73598267195,-1342499.654486373,-67215.94575458174,31820.944664650375,-9.705662242919404,-28.445373538713337,0.0013680492267735824,0.0029462377281516475,-0.015221997546549109,5.398306017993176e-05,1779.6288608827049,-2569.764525987105,5586.230392349089,-22.8337022485424,11.200666464306282,-1.9661130266504077
2023-02-19 06:15:34,7.9,109.9,37.0,23.0,-1.1,-22.9,1.2,203000000000.0,0.57,-129418926.37650347,73869487.1576726,28992.02394706466,-1345393.985964692,-51573.35755039721,31762.030514839847,-15.381377517572075,-25.938448664000532,0.0013021548370629713,0.0027017622016063574,-0.015307864965826114,6.104320075926669e-05,6300.229864213876,-432.1221644563708,1126.5926583573078,-19.855684306150202,10.683546423759905,-3.275211666025373
2023-02-14 22:55:25,-48.0,-53.3,32.3,15.6,-15.1,3.7,-0.9,184000000000.0,0.52,-123337419.30751722,83297372.04019283,28300.221207086364,-1346382.28154008,-45873.21247179386,31738.836724820736,-17.297036635306583,-24.722923753743107,0.0023168301256217072,0.002611393431220535,-0.015337154513796615,6.365473842338935e-05,1110.184660590145,1919.4761847903546,-6002.173740904249,6.725274616300832,-13.42731942124844,4.823940140827118
2023-01-17 06:56:59,33.1,-173.7,38.0,14.2,7.8,-5.6,-10.5,29000000000.0,0.1,-67169894.36805229,131627952.8572636,25182.22783253879,-1352091.3789103867,-7671.577238444415,31559.698069400136,-27.136201625716897,-13.444735262227844,0.0019842368636041963,0.0019961340896165135,-0.015503698226827114,8.075165054571071e-05,3703.155129970822,4970.306987537186,1633.4567075340328,-9.309691912226707,-5.128058347473643,-9.198383964415886
2023-01-11 23:59:50,31.5,18.6,33.5,17.5,-16.1,4.5,-5.2,46000000000.0,0.15,-54502595.489198014,137189822.07352546,24349.148789190545,-1352977.4156537822,-579.8208566710792,31522.131786170332,-28.256394065570888,-10.879226641366701,0.0014364338021275438,0.0018811035740329363,-0.01553038083167117,8.362313671784914e-05,-3467.031533908023,5206.287740990326,1381.654133626118,1.8117055614101873,-17.112653950303944,1.747019628413681
2023-01-09 01:17:14,-45.7,135.0,27.0,16.7,2.3,-0.4,16.5,90000000000.0,0.28,-47242102.66972198,139773151.05996576,24070.280558321487,-1353448.0519273095,3375.399414089353,31500.645583893376,-28.775591614163712,-9.413515825865248,0.0007355474708522356,0.0018165117297348958,-0.015545034507056856,8.518877554153109e-05,-613.3340634646602,-5887.765112861389,-2417.476269217844,-1.360293017018893,8.506322346471052,14.299437241533221
2022-12-29 06:52:09,42.3,92.9,32.3,16.4,0.2,-12.3,-10.9,62000000000.0,0.2,-19806778.24731676,145975253.8425575,24239.946346656696,-1355026.1144233518,17860.79969542025,31418.65118073742,-30.037431115489184,-3.8764374165395052,-0.000316696025744959,0.0015743601975262964,-0.015594458140839425,9.123276038748537e-05,1886.4477659531528,-2296.3642989834307,5669.0563284208965,-4.812771368610275,6.057963913108159,-14.495024009578383
2022-12-13 17:26:01,32.75,-2.1,20.0,18.7,-5.7,14.0,11.0,62000000000.0,0.2,20766887.156120766,145643050.756189,23202.87121926736,-1356902.7482638257,38859.476857736634,31289.3484622147,-29.926591518219578,4.355022758873966,0.00022957164613110912,0.0012186370686591362,-0.015639806822236754,0.00010118737138459078,5113.045609423262,-210.84922675083249,3829.9984906996588,-1.5926355730303352,17.83711361363097,4.259994206688914
2022-11-20 13:53:54,15.0,-109.7,26.0,21.7,9.0,12.3,15.4,34000000000.0,0.12,77189793.57134916,125300016.41281286,23984.169274344717,-1358828.7171631998,70172.81848780379,31073.19387146017,-25.722838123608042,15.711731681087905,0.00047096520759932445,0.000712494825759063,-0.01567011159048113,0.00011448094781922162,-5731.840231721107,2789.5197126518915,599.4578997579599,12.126807910224715,-2.211835945490984,17.714595858776136
2022-09-14 23:31:15,40.8,63.4,35.8,17.4,-13.9,-4.3,9.5,32000000000.0,0.11,147577133.33426693,-21254561.17962173,30580.15691388807,-1359008.4636225277,160517.85283221462,30340.3977598842,3.7626535041642732,29.349259352894624,-0.002460844461366406,-0.0006553877657944676,-0.015739646345394816,0.0001391323057840249,3149.7489935107833,5061.174117331599,2342.1572107771353,-14.230964103884371,2.753862742876712,9.194732972706618
2022-09-04 03:54:55,20.0,165.9,14.0,21.9,18.4,-11.4,-3.5,24000000000.0,0.086,141573205.72957,-48166758.43428178,32088.6028569535,-1358289.0123665612,175231.2148073673,30208.299211527043,9.047148422159344,28.092763220817023,-0.00038015892559167044,-0.0008844641595819906,-0.01574663998409106,0.00014355829529920117,-5324.188722168315,-1678.7183363966383,3108.4708890885304,21.11715463796836,2.3389919525650438,-4.879583720342362
2022-07-28 01:36:08,-6.0,-86.9,37.5,29.9,-17.1,23.5,-7.2,251000000000.0,0.68,85107211.48731399,-124692363.06852782,35141.24072549799,-1354022.4314299203,227078.47862149714,29709.37623123371,24.018425517596334,16.830659808443343,-0.0011829358990689905,-0.0017151320303598696,-0.015749146783305846,0.00015979899576308956,-2949.9337135075057,-5454.117294336456,1645.5744485838325,-3.1723206402646107,23.881202359224375,-18.193589716075394
2022-07-27 04:41:30,-44.8,-2.9,38.1,19.8,-6.1,17.7,6.5,524000000000.0,1.3,83289912.66919631,-125945823.68437013,35236.33836648696,-1353892.586929153,228264.02392171297,29697.332697629136,24.262973241213146,16.470912434143305,-0.001340786761594835,-0.0017346046310877138,-0.015748639580282827,0.0001601757213394321,4451.428502041974,-926.1435141304137,-4512.157820838031,-10.352490971480423,16.557806625900696,-0.06921690192452878
2022-07-25 07:28:17,-40.5,76.6,33.6,15.2,-2.1,-2.2,14.9,87000000000.0,0.27,79298240.68378049,-128563090.02514008,35478.00439587346,-1353606.772829262,230827.69906658487,29671.1910775236,24.77242253605507,15.680966080097804,-0.0016090894208068808,-0.0017767953605237244,-0.015747482414667262,0.00016098757877713762,-3231.4304588195378,1720.4905799782175,-5252.914531725788,0.8814006397026406,3.4021929463015272,14.76298371389457
