,Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),earthx,earthy,earthz,sunx,suny,sunz
0,2023-08-05 19:54:50,19.9,-131.7,44.0,21.8,3.3,20.4,-6.8,1719000000000.0,3.8,101871138.30632284,-111572887.39137988,37526.162722052904,-1284281.4324917635,-264319.0722839011,32113.748684845476
1,2023-07-26 03:41:54,18.9,-103.4,36.1,15.6,-9.5,12.2,1.9,151000000000.0,0.44,80614856.17575936,-128239137.26429258,38455.086425301604,-1289462.9148353077,-251215.28071473824,32121.633076435093
2,2023-07-07 16:15:31,14.5,-126.6,38.3,25.7,2.6,4.1,-25.2,26000000000.0,0.092,38031654.37804196,-147150606.17392087,39911.155945831015,-1297978.3579945993,-228400.4388742863,32123.447011731656
4,2023-06-21 19:39:13,12.4,62.8,40.4,16.5,7.3,-2.0,-16.4,543000000000.0,1.4,-1660820.0472745413,-152241211.1896489,39660.10725077855,-1304854.168839741,-208682.17679963994,32115.312840560982
5,2023-05-20 11:22:23,-17.8,141.9,29.0,27.9,25.4,6.9,9.3,3584000000000.0,7.2,-79534648.75910135,-129766006.85331829,39033.8249400731,-1317680.8394159672,-168092.56054414407,32069.8050324466
6,2023-04-26 13:14:59,47.0,-10.7,29.6,16.2,-15.6,-3.8,-1.8,24000000000.0,0.086,-123504844.66291708,-88056571.83458962,36843.081144260104,-1326208.1766303391,-137736.38291330967,32013.53499170716
7,2023-04-15 08:22:01,-20.1,36.0,41.4,17.2,1.6,-14.7,8.8,3097000000000.0,6.3,-137559605.40525284,-63059496.509581946,36412.91000361836,-1329929.4293151658,-123400.0327722264,31981.565132497122
8,2023-04-06 14:47:39,57.4,109.9,31.2,22.1,8.6,3.6,-20.0,72000000000.0,0.23,-145058238.83592513,-41933717.00698626,34835.897436439285,-1332706.861174231,-112164.8672880994,31954.393053143565
9,2023-04-01 00:02:03,-16.8,76.0,61.8,46.4,21.4,-40.6,7.1,24000000000.0,0.086,-148188394.59839538,-27827169.933468018,33747.589455099514,-1334433.4332412842,-104909.50985106133,31935.86129869798
12,2023-03-03 02:53:54,40.1,87.4,32.0,25.3,16.1,-19.3,2.6,64000000000.0,0.2,-142310169.2449874,45899065.28492458,29769.73598267195,-1342499.654486373,-67215.94575458174,31820.944664650375
13,2023-02-19 06:15:34,7.9,109.9,37.0,23.0,-1.1,-22.9,1.2,203000000000.0,0.57,-129418926.37650347,73869487.1576726,28992.02394706466,-1345393.985964692,-51573.35755039721,31762.030514839847
