,Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),Integrate_positions_x(t=-1000),Integrate_positions_y(t=-1000),Integrate_positions_z(t=-1000)
0,2023-08-05 19:54:50,19.9,-131.7,44.0,21.8,3.3,20.4,-6.8,1719000000000.0,3.8,101863652.10590176,-111601878.82875657,36486.33472272326
1,2023-07-26 03:41:54,18.9,-103.4,36.1,15.6,-9.5,12.2,1.9,151000000000.0,0.44,80578118.41875173,-128247417.17876242,36385.95436975585
2,2023-07-07 16:15:31,14.5,-126.6,38.3,25.7,2.6,4.1,-25.2,26000000000.0,0.092,38006459.62237625,-147167456.54768848,20053.777400145656
4,2023-06-21 19:39:13,12.4,62.8,40.4,16.5,7.3,-2.0,-16.4,543000000000.0,1.4,-1700696.400701774,-152244887.26500946,28975.17317266099
5,2023-05-20 11:22:23,-17.8,141.9,29.0,27.9,25.4,6.9,9.3,3584000000000.0,7.2,-79548162.83393098,-129722633.92921117,38078.973132268016
6,2023-04-26 13:14:59,47.0,-10.7,29.6,16.2,-15.6,-3.8,-1.8,24000000000.0,0.086,-123526411.1737171,-88036056.47222199,38395.90510734908
7,2023-04-15 08:22:01,-20.1,36.0,41.4,17.2,1.6,-14.7,8.8,3097000000000.0,6.3,-137570405.97603202,-63041088.04192541,45953.72040408629
8,2023-04-06 14:47:39,57.4,109.9,31.2,22.1,8.6,3.6,-20.0,72000000000.0,0.23,-145066080.87353095,-41906659.166007765,18729.892019805393
9,2023-04-01 00:02:03,-16.8,76.0,61.8,46.4,21.4,-40.6,7.1,24000000000.0,0.086,-148220358.45618188,-27762315.133917104,27097.512684772333
12,2023-03-03 02:53:54,40.1,87.4,32.0,25.3,16.1,-19.3,2.6,64000000000.0,0.2,-142319881.8859708,45940243.608058155,30696.90423564939
13,2023-02-19 06:15:34,7.9,109.9,37.0,23.0,-1.1,-22.9,1.2,203000000000.0,0.57,-129414707.00819656,73891975.47214998,25724.61984788747
14,2023-02-14 22:55:25,-48.0,-53.3,32.3,15.6,-15.1,3.7,-0.9,184000000000.0,0.52,-123314417.9586693,83306656.94846986,30669.54347435274
17,2023-01-17 06:56:59,33.1,-173.7,38.0,14.2,7.8,-5.6,-10.5,29000000000.0,0.1,-67148655.62990154,131628768.5312657,24326.118396521364
18,2023-01-11 23:59:50,31.5,18.6,33.5,17.5,-16.1,4.5,-5.2,46000000000.0,0.15,-54472956.03406657,137190278.71456847,22856.999679413617
19,2023-01-09 01:17:14,-45.7,135.0,27.0,16.7,2.3,-0.4,16.5,90000000000.0,0.28,-47215730.27931104,139792533.86877266,31372.288787229412
21,2022-12-29 06:52:09,42.3,92.9,32.3,16.4,0.2,-12.3,-10.9,62000000000.0,0.2,-19768395.43400963,145971338.31087568,34712.53237263021
22,2022-12-13 17:26:01,32.75,-2.1,20.0,18.7,-5.7,14.0,11.0,62000000000.0,0.2,20794364.84019149,145655991.3495673,29950.76808283198
24,2022-11-20 13:53:54,15.0,-109.7,26.0,21.7,9.0,12.3,15.4,34000000000.0,0.12,77218316.01121545,125280456.57764173,39580.78714979235
