index,Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),vx,vy,vz,lat,lon,a (km),e,i (rad),Omega (rad),omega (rad),M (rad)
0,2023-08-05 19:54:50,19.9N,131.7W,44.0,3.3,20.4,-6.8,19.9,-131.7,537789649.4322672,0.7870890100838994,0.06290943140413668,2.4256412141712835,2.0004464094927634,6.022836564875549
1,2023-07-26 03:41:54,18.9N,103.4W,36.1,-9.5,12.2,1.9,18.9,-103.4,149454844.59972855,0.35782694178966895,0.0267344360450556,2.143945326100009,5.1843664872219195,0.4644197793924967
2,2023-07-07 16:15:31,14.5N,126.6W,38.3,2.6,4.1,-25.2,14.5,-126.6,202366765.5426853,0.3808311953599959,0.6974984300779364,1.8361573114624743,1.958104589983872,0.19681196554646796
4,2023-06-21 19:39:13,12.4N,62.8E,40.4,7.3,-2.0,-16.4,12.4,62.8,135515321.2361858,0.37322933796038493,0.38395259162717066,1.573707424994488,0.7882449433712262,0.0015081501277069975
5,2023-05-20 11:22:23,17.8S,141.9E,29.0,25.4,6.9,9.3,-17.8,141.9,283737739.32355595,0.7640314560272813,0.03553974382808495,1.0405473375073304,4.997203502470016,5.528752739398468
6,2023-04-26 13:14:59,47.0N,10.7W,29.6,-15.6,-3.8,-1.8,47.0,-10.7,311664919.87151223,0.5614756987214661,0.12369748701616379,-2.498875292759802,5.513879324365315,1.099119788479908
7,2023-04-15 08:22:01,20.1S,36.0E,41.4,1.6,-14.7,8.8,-20.1,36.0,312516011.8261661,0.5366497563924629,0.2820226261472471,-2.70206794988972,5.7899403095481015,5.9789489165077505
8,2023-04-06 14:47:39,57.4N,109.9E,31.2,8.6,3.6,-20.0,57.4,109.9,231662799.51192668,0.35472055151959664,0.5757772713154923,0.2866608682735516,3.1891657433046365,3.2330591062480685
9,2023-04-01 00:02:03,16.8S,76.0E,61.8,21.4,-40.6,7.1,-16.8,76.0,112282947.13951147,0.8759615774437374,2.475606890113971,0.1961732601861984,0.32987568120520105,5.739913619034116
12,2023-03-03 02:53:54,40.1N,87.4E,32.0,16.1,-19.3,2.6,40.1,87.4,241811912.74151903,0.7083933601874288,0.017033811918668363,-0.30628238629195037,1.3016048899895356,5.81873107497232
13,2023-02-19 06:15:34,7.9N,109.9E,37.0,-1.1,-22.9,1.2,7.9,109.9,263721455.37928757,0.675342083910386,0.10603343042368123,-0.5118879661828489,1.5253952838603793,2.8711950592226607
14,2023-02-14 22:55:25,48.0S,53.3W,32.3,-15.1,3.7,-0.9,-48.0,-53.3,270096903.7411044,0.4979841634117349,0.03233214942165687,2.551134339826204,0.7640328565591199,4.899179857894566
17,2023-01-17 06:56:59,33.1N,173.7W,38.0,7.8,-5.6,-10.5,33.1,-173.7,319680938.5238785,0.566911646680384,0.1216311972283651,-0.4212030285932678,2.0564745694023756,5.656439680766088
18,2023-01-11 23:59:50,31.5N,18.6E,33.5,-16.1,4.5,-5.2,31.5,18.6,325513916.4853233,0.614570918196237,0.05996868566843549,1.959497279399986,0.8878705925738588,0.47521186861738496
19,2023-01-09 01:17:14,45.7S,135.0E,27.0,2.3,-0.4,16.5,-45.7,135.0,167156933.8368173,0.2105245367177481,0.36403644974908145,1.891069783084729,5.217955634798753,3.6803887945792173
21,2022-12-29 06:52:09,42.3N,92.9E,32.3,0.2,-12.3,-10.9,42.3,92.9,224315191.08443075,0.36713222782627725,0.3167909616397794,-1.440163591671042,2.5971546511589807,0.555510718537608
22,2022-12-13 17:26:01,32.75N,2.1W,20.0,-5.7,14.0,11.0,32.75,-2.1,213681456.6606808,0.5031879084556515,0.16373816158824822,1.425201896408474,4.877324838936659,2.6048630316509147
24,2022-11-20 13:53:54,15.0N,109.7W,26.0,9.0,12.3,15.4,15.0,-109.7,127733075.96743248,0.20342221245483547,0.641406671434084,1.0068631984287515,3.568576037562175,4.938336710672224
29,2022-09-14 23:31:15,40.8N,63.4E,35.8,-13.9,-4.3,9.5,40.8,63.4,272595419.16947424,0.524483371527115,0.23964177086799432,-0.13895926923971588,0.9212804738811151,2.2923809794644256
34,2022-07-27 04:41:30,44.8S,2.9W,38.1,-6.1,17.7,6.5,-44.8,-2.9,267425993.37988102,0.6064633984181185,0.05614571621668331,2.1663987991853615,4.52639364275306,0.8769470989125496
35,2022-07-25 07:28:17,40.5S,76.6E,33.6,-2.1,-2.2,14.9,-40.5,76.6,183184953.70788464,0.1933135880216775,0.31785884544247817,-1.0090643943276225,0.616642632797392,5.907055048525632
37,2022-07-20 10:56:53,43.0S,59.6W,32.2,-0.9,15.6,-3.6,-43.0,-59.6,94087024.2038448,0.597016400880652,0.18493284287626804,2.0500781237708385,6.205455340635965,1.0345838804826197
38,2022-07-08 01:36:37,21.3N,130.1E,22.0,17.9,-4.1,-8.3,21.3,130.1,305921001.18771875,0.6350790043557005,0.03357140200832926,1.8497451410179995,1.8909922878586212,2.30618091550571
41,2022-06-26 20:16:26,69.7S,164.7E,19.0,0.2,-18.3,8.2,-69.7,164.7,119979974.84273472,0.6108457395492412,0.013385856402918521,1.6540038470017444,5.676366252325023,4.542804983635
43,2022-06-07 22:53:17,40.8N,127.1W,41.1,23.1,2.0,-9.2,40.8,-127.1,195675208.04633912,0.6966580577728049,0.01692742606251789,-1.7956187017661138,4.199802347955318,1.9844432720142606
45,2022-04-21 22:15:28,55.5S,68.9W,28.4,-4.2,11.6,3.2,-55.5,-68.9,263082878.22537893,0.43807297574001636,0.03492346220646582,-2.5563476683631348,6.106119756394981,5.71557200207652
46,2022-04-12 21:59:12,8.2S,57.8E,23.8,-19.3,-6.3,3.6,-8.2,57.8,406735072.49317634,0.7302598220038772,0.08558466228385156,-2.430736245034388,0.7602999001719564,1.2489633249886865
47,2022-04-04 00:30:39,3.2S,64.3W,31.5,-17.6,5.3,-7.2,-3.2,-64.3,338070232.8686726,0.6318384321757166,0.1982415034420596,0.28585618784983324,4.062525017947504,3.2161667314379887
49,2022-03-28 10:20:24,7.7S,74.3E,29.0,-16.6,-10.4,0.1,-7.7,74.3,218701999.24087057,0.5701979532489778,0.025101848979089125,-3.009068776132718,4.695788659575026,2.259525881601977
50,2022-03-24 03:43:42,1.9N,20.6W,56.7,-12.4,11.4,6.9,1.9,-20.6,145624596.7141875,0.4354846903201855,0.17618199923005878,-3.088141086785715,2.075013485547851,3.235519253983039
