transformation_type,numerical_count,theoretical_count,objects_generated,iteration,ratio,description,integration_params
CMND,7,4.672773837186522,1000000,0,0.6675391195980745,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.1, 0.1, 0.1, 0.4218930481283423, 0.4218930481283423, 0.4218930481283423)}"
CMND,4,4.672773837186522,1000000,1,1.1681934592966303,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.1, 0.1, 0.1, 0.4218930481283423, 0.4218930481283423, 0.4218930481283423)}"
CMND,3,4.672773837186522,1000000,2,1.557591279062174,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.1, 0.1, 0.1, 0.4218930481283423, 0.4218930481283423, 0.4218930481283423)}"
CMND,6,4.672773837186522,1000000,3,0.778795639531087,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.1, 0.1, 0.1, 0.4218930481283423, 0.4218930481283423, 0.4218930481283423)}"
CMND,4,4.672773837186522,1000000,4,1.1681934592966303,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.1, 0.1, 0.1, 0.4218930481283423, 0.4218930481283423, 0.4218930481283423)}"
CMND,6,4.672773837186522,1000000,5,0.778795639531087,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.1, 0.1, 0.1, 0.4218930481283423, 0.4218930481283423, 0.4218930481283423)}"
CMND,4,4.672773837186522,1000000,6,1.1681934592966303,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.1, 0.1, 0.1, 0.4218930481283423, 0.4218930481283423, 0.4218930481283423)}"
CMND,3,4.672773837186522,1000000,7,1.557591279062174,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.1, 0.1, 0.1, 0.4218930481283423, 0.4218930481283423, 0.4218930481283423)}"
CMND,5,4.672773837186522,1000000,8,0.9345547674373044,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.1, 0.1, 0.1, 0.4218930481283423, 0.4218930481283423, 0.4218930481283423)}"
CMND,6,4.672773837186522,1000000,9,0.778795639531087,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.1, 0.1, 0.1, 0.4218930481283423, 0.4218930481283423, 0.4218930481283423)}"
